# Time-averaged data for fix temp_info
# TimeStep v_mytemp
3000 5169.06
6000 5086.57
9000 5372.26
12000 5291.35
15000 5091.71
18000 5129.41
21000 4670.86
24000 4724.91
27000 5310.12
30000 4975.79
33000 4905.95
36000 5299.67
39000 4943.59
42000 5213.05
45000 4838.82
48000 5055.27
51000 5302.18
54000 5205.01
57000 4933.6
60000 5020.06
63000 5165.41
66000 4907.15
69000 5253.79
72000 4981.8
75000 5243.21
78000 5533.79
81000 5145.3
84000 4911.89
87000 5738.39
90000 5090.03
93000 4949.71
96000 4628.56
99000 4997.87
102000 4698.03
105000 5134.72
108000 4895.53
111000 5311.78
114000 4828.77
117000 4797.58
120000 5027.03
123000 4657.5
126000 4654.29
129000 5180.57
132000 4570.46
135000 5083.02
138000 5023.95
141000 5305.9
144000 5148.73
147000 4908.16
150000 4784.03
153000 5653.1
156000 5050.26
159000 4533.46
162000 4411.03
165000 4914.8
168000 5098.29
171000 5470.58
174000 4662.66
177000 5191.04
180000 4597.41
183000 5112.28
186000 4871.91
189000 4685.74
192000 4468.94
195000 5301.69
198000 5004.61
201000 5174.96
204000 4952.65
207000 4815.69
210000 4801.91
213000 5218.87
216000 4928.09
219000 4795.6
222000 5455.03
225000 4940.86
228000 5608.33
231000 5176.99
234000 4919.17
237000 4974.7
240000 5051.22
243000 4698.31
246000 4348.62
249000 4539.24
252000 4715.25
255000 4871.2
258000 4963.39
261000 4585.6
264000 4647.61
267000 5253.66
270000 4986.65
273000 4562.36
276000 4944.61
279000 4897.74
282000 5061.02
285000 5023.16
288000 4917.26
291000 4798.05
294000 5017.86
297000 4633.51
300000 5349.72
303000 5609.2
306000 5007.94
309000 5166.09
312000 5229.99
315000 5242.39
318000 5502.9
321000 4846.07
324000 5110.81
327000 5105.92
330000 5077.02
333000 5046.28
336000 5190.2
339000 5126.64
342000 4947.61
345000 4525.61
348000 5252.74
351000 4749.81
354000 5239.18
357000 4815.06
360000 4922.51
363000 5065.64
366000 4680.63
369000 5070.18
372000 5072.25
375000 5437.25
378000 4928.72
381000 4979
384000 4922.78
387000 4705.93
390000 4906.13
393000 5265.58
396000 5118.62
399000 4613.8
402000 5216.9
405000 5213.81
408000 4932.97
411000 5496.13
414000 4744.65
417000 5518.1
420000 4722.53
423000 4745.14
426000 5170.55
429000 5179.51
432000 5170.7
435000 5322.34
438000 5189.46
441000 5545.52
444000 5036.61
447000 5294.15
450000 5011.61
453000 4817
456000 5108.9
459000 4565.42
462000 5275.45
465000 5260.32
468000 4460.96
471000 5100.26
474000 4838.52
477000 5162.75
480000 5216.96
483000 5464.51
486000 5117.44
489000 4658.95
492000 5158.97
495000 4829.14
498000 4799.54
501000 4955.62
504000 5047.64
507000 4909.82
510000 4933.64
513000 5470.72
516000 4912.08
519000 4942.58
522000 5142.23
525000 5157.13
528000 5318.53
531000 5299.09
534000 4942.9
537000 5090.67
540000 5430.71
543000 5524
546000 4683.89
549000 4988.64
552000 4999.04
555000 5420.31
558000 5459.52
561000 5290.31
564000 5364.08
567000 4819.94
570000 4976.74
573000 4884.6
576000 4666.62
579000 4566.67
582000 5390.98
585000 5058.15
588000 5440.61
591000 4820.08
594000 4757.07
597000 4650.71
600000 4841.56
603000 4741.66
606000 5145.09
609000 5140.61
612000 4301.88
615000 4934.89
618000 5149.43
621000 5019.12
624000 5001.15
627000 4882.07
630000 4923.9
633000 5287.86
636000 4985.25
639000 4948.58
642000 4919.75
645000 4764.18
648000 4975.11
651000 4914.41
654000 4950.29
657000 5429.64
660000 4611.64
663000 5165.01
666000 5255.8
669000 5004.22
672000 4947.53
675000 4934.95
678000 4660.16
681000 5428
684000 4984.29
687000 5009.66
690000 5240.56
693000 4148.55
696000 4981.93
699000 4479.84
702000 4592.88
705000 4511.31
708000 5392.61
711000 5234.93
714000 4945.74
717000 4906.43
720000 4988.93
723000 5419.03
726000 4823.96
729000 5219.13
732000 5156.83
735000 5044.68
738000 4971.88
741000 5275.22
744000 4594.6
747000 4995.51
750000 4843.16
753000 4863.02
756000 4517.57
759000 5114.91
762000 4729.11
765000 5016.88
768000 5162.56
771000 4828.71
774000 4731.99
777000 5142.96
780000 4983.61
783000 5128.26
786000 4982.76
789000 4635.26
792000 4794.92
795000 4729.31
798000 5138.28
801000 5433.89
804000 4940.83
807000 4874.69
810000 4589.83
813000 4614.64
816000 5216.73
819000 4525.01
822000 4884.09
825000 5328.38
828000 5397.36
831000 4849.93
834000 5066.14
837000 5086.75
840000 5262.25
843000 5176.9
846000 5237.58
849000 4601.99
852000 4940.62
855000 4673.98
858000 4413.59
861000 4720.08
864000 5051.78
